geography,stateabbrev,state,id2,clinton,total,trump,trump_percent
"State House District 1 (2014), Alaska","AK",2,"2-001",2579,6420,3181,.4954829
"State House District 2 (2014), Alaska","AK",2,"2-002",1589,5321,3189,.5993235
"State House District 3 (2014), Alaska","AK",2,"2-003",1244,7397,5404,.7305664
"State House District 4 (2014), Alaska","AK",2,"2-004",4172,9188,4071,.4430779
"State House District 5 (2014), Alaska","AK",2,"2-005",3195,7660,3684,.48094
"State House District 6 (2014), Alaska","AK",2,"2-006",2542,8230,4930,.5990279
"State House District 8 (2014), Alaska","AK",2,"2-008",1221,7928,6128,.7729566
"State House District 9 (2014), Alaska","AK",2,"2-009",1847,8736,6101,.6983746
"State House District 10 (2014), Alaska","AK",2,"2-010",1812,8827,6257,.7088479
"State House District 11 (2014), Alaska","AK",2,"2-011",2147,9403,6446,.6855259
"State House District 13 (2014), Alaska","AK",2,"2-013",1688,6344,4029,.6350883
"State House District 15 (2014), Alaska","AK",2,"2-015",1832,4854,2526,.5203956
"State House District 16 (2014), Alaska","AK",2,"2-016",3302,7221,3204,.4437059
"State House District 17 (2014), Alaska","AK",2,"2-017",3298,6586,2619,.3976617
"State House District 18 (2014), Alaska","AK",2,"2-018",3918,7226,2685,.3715749
"State House District 19 (2014), Alaska","AK",2,"2-019",2675,4708,1636,.3474936
"State House District 20 (2014), Alaska","AK",2,"2-020",4161,6950,2188,.3148201
"State House District 21 (2014), Alaska","AK",2,"2-021",4234,8446,3480,.4120294
"State House District 22 (2014), Alaska","AK",2,"2-022",3278,8136,4204,.5167158
"State House District 23 (2014), Alaska","AK",2,"2-023",2901,6780,3247,.4789086
"State House District 24 (2014), Alaska","AK",2,"2-024",3586,9067,4710,.5194662
"State House District 25 (2014), Alaska","AK",2,"2-025",3386,7943,3817,.4805489
"State House District 27 (2014), Alaska","AK",2,"2-027",3738,8556,4086,.4775596
"State House District 28 (2014), Alaska","AK",2,"2-028",4760,11114,5424,.4880331
"State House District 32 (2014), Alaska","AK",2,"2-032",2707,7291,3765,.5163901
"State House District 33 (2014), Alaska","AK",2,"2-033",5992,9675,2733,.2824806
"State House District 34 (2014), Alaska","AK",2,"2-034",4230,9170,3956,.4314068
"State House District 35 (2014), Alaska","AK",2,"2-035",3758,8803,4106,.4664319
"State House District 36 (2014), Alaska","AK",2,"2-036",2699,8066,4461,.5530623
"State House District 37 (2014), Alaska","AK",2,"2-037",2427,4912,1938,.394544
"State House District 38 (2014), Alaska","AK",2,"2-038",2765,4790,1143,.2386221
"State House District 39 (2014), Alaska","AK",2,"2-039",3149,5273,1405,.2664517
"State House District 40 (2014), Alaska","AK",2,"2-040",2344,4334,1377,.3177204
"State House District 1 (2014), Arizona","AZ",4,"4-001",33442,117154,78335,.6686498
"State House District 2 (2014), Arizona","AZ",4,"4-002",41010,69097,24965,.3613037
"State House District 3 (2014), Arizona","AZ",4,"4-003",44715,63663,15543,.2441449
"State House District 4 (2014), Arizona","AZ",4,"4-004",32028,56351,21521,.3819098
"State House District 5 (2014), Arizona","AZ",4,"4-005",18808,84679,62222,.7347985
"State House District 6 (2014), Arizona","AZ",4,"4-006",42179,101185,52696,.5207887
"State House District 7 (2014), Arizona","AZ",4,"4-007",42239,70645,24100,.3411423
"State House District 8 (2014), Arizona","AZ",4,"4-008",24939,62039,33862,.545818
"State House District 9 (2014), Arizona","AZ",4,"4-009",56889,100253,37956,.3786021
"State House District 10 (2014), Arizona","AZ",4,"4-010",51745,97804,40651,.4156374
"State House District 11 (2014), Arizona","AZ",4,"4-011",41718,102787,56007,.5448841
"State House District 12 (2014), Arizona","AZ",4,"4-012",38962,111940,66391,.5930945
"State House District 13 (2014), Arizona","AZ",4,"4-013",29389,86092,52600,.6109743
"State House District 14 (2014), Arizona","AZ",4,"4-014",29330,87242,52227,.5986452
"State House District 15 (2014), Arizona","AZ",4,"4-015",41360,105903,58948,.5566226
"State House District 16 (2014), Arizona","AZ",4,"4-016",29683,90102,55241,.613094
"State House District 17 (2014), Arizona","AZ",4,"4-017",45784,101605,49942,.4915309
"State House District 18 (2014), Arizona","AZ",4,"4-018",56517,108892,45204,.4151269
"State House District 19 (2014), Arizona","AZ",4,"4-019",34494,51162,13902,.2717251
"State House District 20 (2014), Arizona","AZ",4,"4-020",35917,84116,42658,.507133
"State House District 21 (2014), Arizona","AZ",4,"4-021",35376,88939,48880,.5495902
"State House District 22 (2014), Arizona","AZ",4,"4-022",39485,117100,72752,.621281
