"","geography","stateabbrev","state","id2","clinton","total","trump","trump_percent"
"1","State House District 1 (2014), Alaska","AK","2","2-001",2579,6420,3181,0.4954829
"2","State House District 2 (2014), Alaska","AK","2","2-002",1589,5321,3189,0.5993235
"3","State House District 3 (2014), Alaska","AK","2","2-003",1244,7397,5404,0.7305664
"4","State House District 4 (2014), Alaska","AK","2","2-004",4172,9188,4071,0.4430779
"5","State House District 5 (2014), Alaska","AK","2","2-005",3195,7660,3684,0.48094
"6","State House District 6 (2014), Alaska","AK","2","2-006",2542,8230,4930,0.5990279
"7","State House District 8 (2014), Alaska","AK","2","2-008",1221,7928,6128,0.7729566
"8","State House District 9 (2014), Alaska","AK","2","2-009",1847,8736,6101,0.6983746
"9","State House District 10 (2014), Alaska","AK","2","2-010",1812,8827,6257,0.7088479
"10","State House District 11 (2014), Alaska","AK","2","2-011",2147,9403,6446,0.6855259
"11","State House District 13 (2014), Alaska","AK","2","2-013",1688,6344,4029,0.6350883
"12","State House District 15 (2014), Alaska","AK","2","2-015",1832,4854,2526,0.5203956
"13","State House District 16 (2014), Alaska","AK","2","2-016",3302,7221,3204,0.4437059
"14","State House District 17 (2014), Alaska","AK","2","2-017",3298,6586,2619,0.3976617
"15","State House District 18 (2014), Alaska","AK","2","2-018",3918,7226,2685,0.3715749
"16","State House District 19 (2014), Alaska","AK","2","2-019",2675,4708,1636,0.3474936
"17","State House District 20 (2014), Alaska","AK","2","2-020",4161,6950,2188,0.3148201
"18","State House District 21 (2014), Alaska","AK","2","2-021",4234,8446,3480,0.4120294
"19","State House District 22 (2014), Alaska","AK","2","2-022",3278,8136,4204,0.5167158
"20","State House District 23 (2014), Alaska","AK","2","2-023",2901,6780,3247,0.4789086
"21","State House District 24 (2014), Alaska","AK","2","2-024",3586,9067,4710,0.5194662
"22","State House District 25 (2014), Alaska","AK","2","2-025",3386,7943,3817,0.4805489
"23","State House District 27 (2014), Alaska","AK","2","2-027",3738,8556,4086,0.4775596
"24","State House District 28 (2014), Alaska","AK","2","2-028",4760,11114,5424,0.4880331
"25","State House District 32 (2014), Alaska","AK","2","2-032",2707,7291,3765,0.5163901
"26","State House District 33 (2014), Alaska","AK","2","2-033",5992,9675,2733,0.2824806
"27","State House District 34 (2014), Alaska","AK","2","2-034",4230,9170,3956,0.4314068
"28","State House District 35 (2014), Alaska","AK","2","2-035",3758,8803,4106,0.4664319
"29","State House District 36 (2014), Alaska","AK","2","2-036",2699,8066,4461,0.5530623
"30","State House District 37 (2014), Alaska","AK","2","2-037",2427,4912,1938,0.394544
"31","State House District 38 (2014), Alaska","AK","2","2-038",2765,4790,1143,0.2386221
"32","State House District 39 (2014), Alaska","AK","2","2-039",3149,5273,1405,0.2664517
"33","State House District 40 (2014), Alaska","AK","2","2-040",2344,4334,1377,0.3177204
"34","State House District 1 (2014), Arizona","AZ","4","4-001",33442,117154,78335,0.6686498
"35","State House District 2 (2014), Arizona","AZ","4","4-002",41010,69097,24965,0.3613037
"36","State House District 3 (2014), Arizona","AZ","4","4-003",44715,63663,15543,0.2441449
"37","State House District 4 (2014), Arizona","AZ","4","4-004",32028,56351,21521,0.3819098
"38","State House District 5 (2014), Arizona","AZ","4","4-005",18808,84679,62222,0.7347985
"39","State House District 6 (2014), Arizona","AZ","4","4-006",42179,101185,52696,0.5207887
"40","State House District 7 (2014), Arizona","AZ","4","4-007",42239,70645,24100,0.3411423
"41","State House District 8 (2014), Arizona","AZ","4","4-008",24939,62039,33862,0.545818
"42","State House District 9 (2014), Arizona","AZ","4","4-009",56889,100253,37956,0.3786021
"43","State House District 10 (2014), Arizona","AZ","4","4-010",51745,97804,40651,0.4156374
